caption,true_track_id,top1_track_id,top2_track_id,top3_track_id
This song features a piano melody being played. It is played on an ascending scale. The sound of a plane propeller is played on top of this music. At the end; a male voice is heard in a narrating tone. There are no other instruments in this song and no vocal melody is sung in this clip. This music can be played in a classic silent movie.,0bP2MH3LqvI,ZKkfCOqLrT0,O25IKwo2HkE,4ufDENm_ECk
"The low quality recording features an ambient classical song that consists of sustained strings, chords, slow arpeggiated guitar melody and smooth bass. It sounds sad, melancholic and emotional.",rWitVrXe5tg,338iZ76huSQ,k2uiJXN3L6E,emP2Sg9QEg4
"The low quality recording features bagpipes melodies playing over snare rolls. It sounds traditional and passionate, as the recording is in mono and noisy.",BSLriWJ7hn8,kjcXM60HrRA,Rf7vygfb7w4,RmyyW-TMkVc
"This music is an energetic instrumental. The tempo is fast with a vivacious harmonica lead, lively guitar rhythm, enthusiastic cello and punchy drumming. The song starts with an enthusiastic vocal riff. The music is an upbeat, catchy, buoyant, peppy, youthful, energetic and lively Harmonica instrumental.",CRUd8kY3L70,3rbWoeUg9yo,A_Yd5huF2Pg,fWwV7o4VjEQ
"The low quality recording features widely spread electric guitar melodies. One of the melodies is solo and it is panned to the right channel, while the other one is an arpeggiated electric guitar melody, and it is panned to the left channel of the stereo image. The recording is a bit noisy and weird, since it is a bit too wide, but it also sounds passionate.",7xD_Ib3VS_w,hHqrcLiKJRg,wFTlySgdWX4,HWe3TSUcvHc
"The low quality recording features a clarinet melody. It sounds harsh, loud and the recording is noisy and in mono.",YFhbrSUb0JQ,bAJrcYJgllE,Yd8JBTdUvrw,4ufDENm_ECk
"The low quality recording features a rock song that consists passionate male vocal, alongside, harmonizing background vocals, singing over shimmering wide cymbals, bouncy snare hits, soft kick hits, electric rhythm guitar melody in the left channel, groovy bass guitar, acoustic rhythm guitar in the right channel of the stereo image and some wide toms roll. It sounds addictive and energetic.",U-UF93NA3ko,7k3M0pQvzhY,CHo8wKj9J1w,QutCXtWmzIs
"This is a breakbeat from a DJ set performance. The DJ is using the turntable to repeat the male vocal sample and add the scratching effect. In the background, the electronic drums and a strong bass are providing the rhythmic background at a medium tempo. It has a groovy, urban atmosphere. This performance could be used in a crime movie or a TV show with an urban ghetto setting.",qOTk01gmrRo,4Ua6i_VDYU4,DsAp3b1poeA,CzMNiypg1I8
"The low quality recording features an echoing flat male vocal, alongside harmonizing male vocal, singing over sustained strings melody, shimmering open hats, wooden percussions, punchy kick and groovy bass. It sounds traditional and passionate.",Bap5P9buB0Y,95ThRxhl-ug,8LP_wbFLaJE,EwoCbcSXlSM
The low quality recording features a female vocal beatboxing a dubstep song. It sounds energetic and aggressive.,Gz8RlHf3Czs,cmJj7SxQEp8,m4Dj_vTsAt0,icomsHXY8YA
